replicate,mean_injuries,injury_rate,rush_mean_injury_difference,rush_injury_rate_difference,borough_injury_rate_manhattan,borough_injury_rate_bronx,borough_injury_rate_brooklyn,borough_injury_rate_queens,borough_injury_rate_staten_island
83,0.33294871434065987,0.2457340125141887,-0.023546335694695997,-0.006330841191102665,0.19379893912604193,0.26646514610240907,0.2658432021732671,0.2458094900491214,0.2351294611616515
84,0.3330894286062721,0.24610925055582136,-0.027265319254761944,-0.007278569972523824,0.19423282755147012,0.27144663175004513,0.26353866982568963,0.2420937297674187,0.22357854159974302
85,0.3346841902832109,0.24651263145057645,-0.026555878762235807,-0.006784143347972615,0.19702927042376583,0.26836363636363636,0.26291099653452793,0.2471168857329909,0.2176985195154778
86,0.33341776189270067,0.24526496496214786,-0.02846003699118488,-0.011108680224267281,0.19684354417795452,0.2679792937696432,0.2663472139767619,0.2469436437729848,0.2192923898531375
87,0.3334928095010272,0.24533063161943358,-0.02461392216520708,-0.006501427773693641,0.19767441860465115,0.25999817800856334,0.26572447160682455,0.24681448780977225,0.21296607322808195
88,0.33283614292817004,0.24546196493400502,-0.029381573301608066,-0.012914724839216407,0.19044039340976007,0.262249954120022,0.268480340063762,0.2413152610441767,0.21289695398574207
89,0.32932766723890466,0.24255387011135188,-0.02445428070489064,-0.00916002223140841,0.19357424765663542,0.26491369287183614,0.2561288118219868,0.23877664130599083,0.2221498371335505
90,0.33408380941659865,0.24606234580061725,-0.028897629033864558,-0.00870026598719656,0.19825018615040954,0.26473839351510686,0.26471463176235605,0.24482498111306975,0.22442133512244214
91,0.32686985806621077,0.24281653674049475,-0.015146410206613614,-0.0019232957414251073,0.19459893709059448,0.2634294665069566,0.2595157179269329,0.2417925478348439,0.21680672268907564
92,0.3339524761020272,0.24545258398296418,-0.026585152476937768,-0.00790235769243594,0.20370712482295708,0.2647540983606557,0.2627759168599158,0.2450174075382209,0.226521164021164
93,0.3354909520727211,0.24507734594133154,-0.0333543401696601,-0.014598420066442575,0.1914735407113645,0.262957593330917,0.26908906111040526,0.2452667814113597,0.2202439828552588
94,0.3313445717126802,0.24372648899145397,-0.01788172977959035,-0.003973546383833099,0.19723990169512887,0.2609689213893967,0.2643298619930573,0.24111802488960257,0.23094841930116472
95,0.33175733355847614,0.24449572697680091,-0.02618143234213338,-0.008135283532091475,0.1980980610102507,0.2614236300746405,0.26055281765588173,0.23974384630778467,0.2316792638843247
96,0.33817390407039466,0.2476758693796377,-0.029594901317307964,-0.004969266398611588,0.1980191891055401,0.2681218735788995,0.2699088663657269,0.24657741854003537,0.2172503242542153
97,0.3313258098105986,0.2449929173819642,-0.025300448408605014,-0.00879005641986727,0.1978343394112888,0.26537305274665207,0.26646313022092183,0.2390910918962397,0.2298735861610113
98,0.3337179523260068,0.2456871077589846,-0.029614380901898885,-0.010194822208788618,0.19849107526222168,0.2720051132213294,0.2628784310366976,0.24438704549970197,0.2152070604209097
99,0.3289899530014353,0.24321053668420906,-0.02879741088162474,-0.00930796952377766,0.1931853509917304,0.2622995877233165,0.25976266621780847,0.24328816803505768,0.2357262103505843
100,0.3357442377508232,0.24601544104541317,-0.026043452456321003,-0.009680008858850092,0.19796134004599417,0.2652891799649479,0.26463445272590236,0.24234461849418898,0.22727272727272727
101,0.3301250480773741,0.24439253651535192,-0.025130778739798354,-0.009326800353096076,0.19972631709896124,0.2628716461203771,0.2634774058398529,0.2430496418373992,0.22792674950948333
102,0.3290368577566394,0.24384844135498457,-0.028477728675293967,-0.009885092219925007,0.19591811643204032,0.25130650041257907,0.26490431535621844,0.24460865631126527,0.2288605941887039
103,0.32670100094747606,0.2425069653561478,-0.031082040925963506,-0.011388220199880034,0.1913503422526447,0.2605697695518055,0.2618460229689494,0.24571801697724646,0.2275489534098582
104,0.3360913329393334,0.24668148856931116,-0.028553367058300916,-0.009018473060929899,0.1937570656952644,0.26395753249130516,0.2636402206194315,0.24419656315948146,0.2231102231102231
105,0.3324984286907007,0.24639067908704584,-0.03031553181254859,-0.009148368146727703,0.19892572698647898,0.26509451275463386,0.26566140031343977,0.242152466367713,0.2359258054018874
106,0.3330800476552313,0.24599667914333156,-0.025702015929008948,-0.008818074603422127,0.19793322734499205,0.26462621885157095,0.2651603184850441,0.2423936116445972,0.21981320880587057
107,0.3329111905364966,0.24600606009437237,-0.029839966883346114,-0.011739561299409063,0.19686073416296668,0.2707515295406812,0.26388417119565216,0.2448504478971608,0.22490092470277412
108,0.3296560005253333,0.24337001285190293,-0.02965102025795413,-0.00966275061944974,0.19824120603015075,0.25938784833257195,0.26192504258943783,0.245204046041158,0.22429906542056074
109,0.32874604827437404,0.2433512509498213,-0.02824951675023002,-0.009035257433062577,0.197294949745626,0.2610042832406817,0.26039452427514664,0.24270476957134232,0.2204672589667654
110,0.3330800476552313,0.24588410773084174,-0.02523558672129722,-0.008230458343455843,0.20140704769020049,0.26290742569812336,0.2607954303252483,0.2429646844844137,0.24436741767764297
111,0.33045338136380265,0.24349196521543354,-0.03319428070736996,-0.011817765403472846,0.1941669252249457,0.2559664784113682,0.2649757838388988,0.24281892069261446,0.22951952989975805
112,0.3266353342901903,0.24219739397180087,-0.028795500725578294,-0.01169363102839499,0.19393405487037504,0.26115687516972935,0.2612489889745009,0.24213172448466566,0.2085509138381201
113,0.3296090957701292,0.24412048893516824,-0.036993093133542765,-0.013645401162364568,0.1987628092976756,0.26622006056712855,0.26231168502342067,0.24443109576012415,0.20812685827552033
114,0.3357067139466599,0.24518991735382134,-0.023341365694393268,-0.007772474621275616,0.1958403387508562,0.2634418434528164,0.2652148223178864,0.23652815691032253,0.21949623814196925
115,0.33307066670419044,0.24575277441627033,-0.02395717652454854,-0.007470315734036975,0.1962726766144511,0.25975587201775474,0.2645894521772443,0.24465200361554684,0.22358247422680413
116,0.3330988095573129,0.24436439366222948,-0.025500876075628842,-0.007804407330413016,0.18898528857035082,0.26255249224027755,0.2597386064669439,0.248192892887833,0.22679045092838196
117,0.33261100010319045,0.24456139363408663,-0.02659306785589094,-0.00751334475624188,0.1974669328674819,0.2613452914798206,0.2635270115186807,0.24353197306465496,0.20695419592109662
